"sa2_name","state","count"
"Hill Top - Colo Vale","New South Wales",3
"Chelsea Heights","Victoria",3
"Panton Hill - St Andrews","Victoria",3
"Upwey - Tecoma","Victoria",3
"Dingley Village","Victoria",3
"Seddon - Kingsville","Victoria",3
"Melton","Victoria",3
"Dromana","Victoria",3
"Hastings - Somers","Victoria",3
"Somerville","Victoria",3
"Ballarat East - Warrenheip","Victoria",3
"Daylesford","Victoria",3
"Portarlington","Victoria",3
"Kilmore - Broadford","Victoria",3
"Rosedale","Victoria",3
"Gannawarra","Victoria",3
"Kyabram","Victoria",3
"Shepparton Surrounds - East","Victoria",3
"Portland","Victoria",3
"Geebung","Queensland",3
"Deagon","Queensland",3
"Brassall","Queensland",3
"Ipswich - East","Queensland",3
"Morayfield","Queensland",3
"Clontarf","Queensland",3
"Dayboro","Queensland",3
"Manoora","Queensland",3
"Manunda","Queensland",3
"Chinchilla","Queensland",3
"Warwick","Queensland",3
"Glenlee - Rockyview","Queensland",3
"Yeppoon","Queensland",3
"Boyne Island - Tannum Sands","Queensland",3
"Burleigh Waters","Queensland",3
"Highland Park","Queensland",3
"Willow Vale - Pimpama (West)","Queensland",3
"Main Beach","Queensland",3
"Mount Isa","Queensland",3
"Sunshine Beach","Queensland",3
"Peregian Springs","Queensland",3
"Nambour","Queensland",3
"Newtown (Qld)","Queensland",3
"Toowoomba - Central","Queensland",3
"Burdekin","Queensland",3
"Annandale (Qld)","Queensland",3
"Belgian Gardens - Pallarenda","Queensland",3
"Cranbrook","Queensland",3
"Kelso","Queensland",3
"Bundaberg","Queensland",3
"Bundaberg Surrounds - South","Queensland",3
"Svensson Heights - Norville","Queensland",3
"Gayndah - Mundubbera","Queensland",3
"Gin Gin","Queensland",3
"Nairne","South Australia",3
"Gawler - North","South Australia",3
"Port Pirie","South Australia",3
"Port Augusta","South Australia",3
"Roxby Downs","South Australia",3
"Millicent","South Australia",3
"Mount Gambier - West","South Australia",3
"Cottesloe","Western Australia",3
"Stratton - Jane Brook","Western Australia",3
"Yanchep","Western Australia",3
"Coogee","Western Australia",3
"North Coogee","Western Australia",3
"Calista","Western Australia",3
"Rockingham","Western Australia",3
"Waikiki","Western Australia",3
"Baldivis - North","Western Australia",3
"Australind - Leschenault","Western Australia",3
"Manjimup","Western Australia",3
"Plantagenet","Western Australia",3
"Broome","Western Australia",3
"Rokeby","Tasmania",3
"Berriedale - Chigwell","Tasmania",3
"Mount Nelson - Dynnyrne","Tasmania",3
"George Town","Tasmania",3
"Burnie - Wivenhoe","Tasmania",3
"East Side","Northern Territory",3
"Aranda","Australian Capital Territory",3
"Fraser","Australian Capital Territory",3
"Giralang","Australian Capital Territory",3
"Higgins","Australian Capital Territory",3
"Macgregor (ACT)","Australian Capital Territory",3
"McKellar","Australian Capital Territory",3
"Melba","Australian Capital Territory",3
"Jacka","Australian Capital Territory",3
"Barton","Australian Capital Territory",3
"Calwell","Australian Capital Territory",3
"Macarthur","Australian Capital Territory",3
"Richardson","Australian Capital Territory",3
"Chapman","Australian Capital Territory",3
"Hughes","Australian Capital Territory",3
