"sa2_name","state","count"
"St Peters - Marden","South Australia",64
"Ashcroft - Busby - Miller","New South Wales",63
"Oran Park","New South Wales",63
"Bundoora - East","Victoria",63
"Norwood (SA)","South Australia",63
"Brighton (SA)","South Australia",63
"Flagstaff Hill","South Australia",63
"Riverstone","New South Wales",62
"Taigum - Fitzgibbon","Queensland",62
"Jindalee - Mount Ommaney","Queensland",62
"Mascot","New South Wales",61
"Warwick Farm","New South Wales",61
"Berwick - South West","Victoria",61
"Corio - Lovely Banks","Victoria",61
"Westlake","Queensland",61
"Benowa","Queensland",61
"Glenelg (SA)","South Australia",61
"Woodvale","Western Australia",61
"Shepparton - South East","Victoria",60
"Gungahlin","Australian Capital Territory",60
"Hamilton (Qld)","Queensland",59
"Goodwood - Millswood","South Australia",59
"South Melbourne","Victoria",58
"Burwood East","Victoria",58
"Watsonia","Victoria",58
"Riverhills","Queensland",58
"Labrador","Queensland",58
"Payneham - Felixstow","South Australia",58
"The Parks","South Australia",58
"Dianella - South","Western Australia",58
"Greenfield Park - Prairiewood","New South Wales",57
"Surrey Hills (West) - Canterbury","Victoria",57
"Hawthorn - South","Victoria",57
"Bundoora - North","Victoria",57
"Belmont","Victoria",57
"Kenmore","Queensland",57
"Melbourne CBD - North","Victoria",56
"Malvern - Glen Iris","Victoria",56
"Mickleham - Yuroke","Victoria",56
"Cranbourne North - East","Victoria",56
"Cranbourne North - West","Victoria",56
"Bellbowrie - Moggill","Queensland",56
"Kelvin Grove - Herston","Queensland",56
"Kensington (NSW)","New South Wales",55
"Liverpool - West","New South Wales",55
"Rowville - North","Victoria",55
"Sunshine West","Victoria",55
"Chermside","Queensland",55
"Hallett Cove","South Australia",55
"Glenhaven","New South Wales",54
"Mount Druitt - Whalan","New South Wales",54
"Flemington","Victoria",54
"St Kilda - West","Victoria",54
"Highett (East) - Cheltenham","Victoria",54
"Narre Warren South - East","Victoria",54
"Altona Meadows","Victoria",54
"North Adelaide","South Australia",54
"Rivervale","Western Australia",54
"St Clair","New South Wales",53
"Silverwater - Newington","New South Wales",53
"Ivanhoe","Victoria",53
"Plenty - Yarrambat","Victoria",53
"Meadow Heights","Victoria",53
"Mount Waverley - North","Victoria",53
"Gosford - Springfield","New South Wales",52
"Blacktown - West","New South Wales",52
"Kew - South","Victoria",52
"Bentleigh - McKinnon","Victoria",52
"Reservoir - South East","Victoria",52
"Craigieburn - North","Victoria",52
"Rowville - South","Victoria",52
"Kilsyth","Victoria",52
"Carseldine","Queensland",52
"Morningside - Seven Hills","Queensland",52
"Inala - Richlands","Queensland",52
"Kingston (Qld)","Queensland",52
"Elizabeth","South Australia",52
"Huntingdale - Southern River","Western Australia",52
"Bankstown - North","New South Wales",51
"Parkville","Victoria",51
"Bayswater North","Victoria",51
"Ringwood North","Victoria",51
"Werribee - West","Victoria",51
"Moorooka","Queensland",51
"Surfers Paradise - North","Queensland",51
"Kingsley","Western Australia",51
"Ultimo","New South Wales",50
"Leichhardt","New South Wales",50
