"DATE","DATE_NAME","DATE_CODE","DATE_TYPE","DATE_TYPECODE","DATE_SORTORDER","GEOGRAPHY","GEOGRAPHY_NAME","GEOGRAPHY_CODE","GEOGRAPHY_TYPE","GEOGRAPHY_TYPECODE","GEOGRAPHY_SORTORDER","C2021_COB_58","C2021_COB_58_NAME","C2021_COB_58_CODE","C2021_COB_58_TYPE","C2021_COB_58_TYPECODE","C2021_COB_58_SORTORDER","MEASURES","MEASURES_NAME","OBS_VALUE","OBS_STATUS","OBS_STATUS_NAME","OBS_CONF","OBS_CONF_NAME","URN","RECORD_OFFSET","RECORD_COUNT"
"2021","2021","2021","date",0,0,"650117172","Leicester","E06000016","2022 local authorities: counties",155,51,"31","Middle East and Asia: Middle East: Iran","_31","Country of birth",1000000,0,"20100","Value",686,"A","Normal Value","F","Free (free for publication)","Nm-2032d1d32336e0d650117172d31d20100",51,174
"2021","2021","2021","date",0,0,"650117173","Nottingham","E06000018","2022 local authorities: counties",155,52,"31","Middle East and Asia: Middle East: Iran","_31","Country of birth",1000000,0,"20100","Value",1114,"A","Normal Value","F","Free (free for publication)","Nm-2032d1d32336e0d650117173d31d20100",52,174
"2021","2021","2021","date",0,0,"650117174","Rutland","E06000017","2022 local authorities: counties",155,53,"31","Middle East and Asia: Middle East: Iran","_31","Country of birth",1000000,0,"20100","Value",23,"A","Normal Value","F","Free (free for publication)","Nm-2032d1d32336e0d650117174d31d20100",53,174
"2021","2021","2021","date",0,0,"650117175","Derbyshire","E10000007","2022 local authorities: counties",155,54,"31","Middle East and Asia: Middle East: Iran","_31","Country of birth",1000000,0,"20100","Value",205,"A","Normal Value","F","Free (free for publication)","Nm-2032d1d32336e0d650117175d31d20100",54,174
"2021","2021","2021","date",0,0,"650117176","Leicestershire","E10000018","2022 local authorities: counties",155,55,"31","Middle East and Asia: Middle East: Iran","_31","Country of birth",1000000,0,"20100","Value",424,"A","Normal Value","F","Free (free for publication)","Nm-2032d1d32336e0d650117176d31d20100",55,174
"2021","2021","2021","date",0,0,"650117177","Lincolnshire","E10000019","2022 local authorities: counties",155,56,"31","Middle East and Asia: Middle East: Iran","_31","Country of birth",1000000,0,"20100","Value",272,"A","Normal Value","F","Free (free for publication)","Nm-2032d1d32336e0d650117177d31d20100",56,174
"2021","2021","2021","date",0,0,"650117178","Nottinghamshire","E10000024","2022 local authorities: counties",155,57,"31","Middle East and Asia: Middle East: Iran","_31","Country of birth",1000000,0,"20100","Value",675,"A","Normal Value","F","Free (free for publication)","Nm-2032d1d32336e0d650117178d31d20100",57,174
"2021","2021","2021","date",0,0,"650117179","North Northamptonshire","E06000061","2022 local authorities: counties",155,58,"31","Middle East and Asia: Middle East: Iran","_31","Country of birth",1000000,0,"20100","Value",136,"A","Normal Value","F","Free (free for publication)","Nm-2032d1d32336e0d650117179d31d20100",58,174
"2021","2021","2021","date",0,0,"650117180","West Northamptonshire","E06000062","2022 local authorities: counties",155,59,"31","Middle East and Asia: Middle East: Iran","_31","Country of birth",1000000,0,"20100","Value",249,"A","Normal Value","F","Free (free for publication)","Nm-2032d1d32336e0d650117180d31d20100",59,174
"2021","2021","2021","date",0,0,"650117181","Herefordshire, County of","E06000019","2022 local authorities: counties",155,60,"31","Middle East and Asia: Middle East: Iran","_31","Country of birth",1000000,0,"20100","Value",44,"A","Normal Value","F","Free (free for publication)","Nm-2032d1d32336e0d650117181d31d20100",60,174
"2021","2021","2021","date",0,0,"650117182","Shropshire","E06000051","2022 local authorities: counties",155,61,"31","Middle East and Asia: Middle East: Iran","_31","Country of birth",1000000,0,"20100","Value",63,"A","Normal Value","F","Free (free for publication)","Nm-2032d1d32336e0d650117182d31d20100",61,174
"2021","2021","2021","date",0,0,"650117183","Stoke-on-Trent","E06000021","2022 local authorities: counties",155,62,"31","Middle East and Asia: Middle East: Iran","_31","Country of birth",1000000,0,"20100","Value",516,"A","Normal Value","F","Free (free for publication)","Nm-2032d1d32336e0d650117183d31d20100",62,174
"2021","2021","2021","date",0,0,"650117184","Telford and Wrekin","E06000020","2022 local authorities: counties",155,63,"31","Middle East and Asia: Middle East: Iran","_31","Country of birth",1000000,0,"20100","Value",58,"A","Normal Value","F","Free (free for publication)","Nm-2032d1d32336e0d650117184d31d20100",63,174
"2021","2021","2021","date",0,0,"650117185","Staffordshire","E10000028","2022 local authorities: counties",155,64,"31","Middle East and Asia: Middle East: Iran","_31","Country of birth",1000000,0,"20100","Value",357,"A","Normal Value","F","Free (free for publication)","Nm-2032d1d32336e0d650117185d31d20100",64,174
"2021","2021","2021","date",0,0,"650117186","Warwickshire","E10000031","2022 local authorities: counties",155,65,"31","Middle East and Asia: Middle East: Iran","_31","Country of birth",1000000,0,"20100","Value",353,"A","Normal Value","F","Free (free for publication)","Nm-2032d1d32336e0d650117186d31d20100",65,174
"2021","2021","2021","date",0,0,"650117187","Birmingham","E08000025","2022 local authorities: counties",155,66,"31","Middle East and Asia: Middle East: Iran","_31","Country of birth",1000000,0,"20100","Value",4624,"A","Normal Value","F","Free (free for publication)","Nm-2032d1d32336e0d650117187d31d20100",66,174
