SERIALNO,POBP,ANC1P,ANC2P,RAC1P,HISP,SEX,AGEP,PWGTP,POBP_SP,ANC1P_SP,ANC2P_SP,RAC1P_SP,HISP_SP,RELSHIPP_SP,gen,gender,partnership_type,age_group,spouse_iran,spouse_mena,spouse_white,spouse_hsp,spouse,PERWT,AGE,BPL,ANCESTR1,ANCESTR2,RACE,HISPAN,BPL_SP,ANCESTR1_SP,ANCESTR2_SP,RACE_SP,HISPAN_SP
2020HU0207177,212,416,999,1,1,1,81,13,212,416,999,1,1,21,1st gen,Male,Married,80-89,Yes,Yes,Yes,No,Iranian,13,81,212,416,999,1,1,212,416,999,1,1
2020HU0262729,212,483,999,1,1,1,56,10,213,999,999,1,1,21,1st gen,Male,Married,50-59,No,No,Yes,No,Other White,10,56,212,483,999,1,1,213,999,999,1,1
2020HU0562888,212,416,999,1,1,2,32,14,212,416,999,1,1,21,1st gen,Female,Married,30-39,Yes,Yes,Yes,No,Iranian,14,32,212,416,999,1,1,212,416,999,1,1
2020HU0567513,138,416,999,1,1,1,41,39,48,999,999,9,1,21,2nd gen,Male,Married,40-49,No,No,No,No,Other,39,41,138,416,999,1,1,48,999,999,9,1
2020HU0574844,212,999,999,1,1,2,43,94,36,999,999,1,1,21,1st gen,Female,Married,40-49,No,No,Yes,No,Other White,94,43,212,999,999,1,1,36,999,999,1,1
2020HU0642803,212,416,999,1,1,1,46,11,212,416,999,1,1,21,1st gen,Male,Married,40-49,Yes,Yes,Yes,No,Iranian,11,46,212,416,999,1,1,212,416,999,1,1
2020HU0704045,4,416,999,1,1,1,67,12,212,416,999,1,1,21,2nd gen,Male,Married,60-69,Yes,Yes,Yes,No,Iranian,12,67,4,416,999,1,1,212,416,999,1,1
2020HU0842724,212,416,999,1,1,1,35,24,4,917,999,5,1,22,1st gen,Male,Unmarried partner,30-39,No,No,No,No,Other,24,35,212,416,999,1,1,4,917,999,5,1
2020HU0999343,4,785,416,9,1,2,34,150,6,22,50,1,1,22,2nd gen,Female,Unmarried partner,30-39,No,No,Yes,No,Other White,150,34,4,785,416,9,1,6,22,50,1,1
2020HU1083184,212,416,999,1,1,2,61,221,212,416,999,1,1,21,1st gen,Female,Married,60-69,Yes,Yes,Yes,No,Iranian,221,61,212,416,999,1,1,212,416,999,1,1
2020HU1110443,212,416,999,1,1,1,34,10,4,51,32,1,1,22,1st gen,Male,Unmarried partner,30-39,No,No,Yes,No,Other White,10,34,212,416,999,1,1,4,51,32,1,1
2021HU0102599,212,416,999,1,1,2,41,11,212,416,999,1,1,21,1st gen,Female,Married,40-49,Yes,Yes,Yes,No,Iranian,11,41,212,416,999,1,1,212,416,999,1,1
2021HU0202580,4,416,999,1,1,1,52,17,29,939,999,1,1,22,2nd gen,Male,Unmarried partner,50-59,No,No,Yes,No,Other White,17,52,4,416,999,1,1,29,939,999,1,1
2021HU0221398,138,21,416,1,1,2,55,24,138,999,999,9,1,21,2nd gen,Female,Married,50-59,No,No,No,No,Other,24,55,138,21,416,1,1,138,999,999,9,1
2021HU0300690,4,416,32,1,1,2,32,7,39,210,999,1,2,21,2nd gen,Female,Married,30-39,No,No,No,Yes,Hispanic,7,32,4,416,32,1,1,39,210,999,1,2
2021HU0452182,212,416,999,9,1,1,36,9,212,416,999,9,1,21,1st gen,Male,Married,30-39,Yes,Yes,No,No,Iranian,9,36,212,416,999,9,1,212,416,999,9,1
2021HU0458394,212,416,999,9,1,2,62,48,212,416,999,9,1,21,1st gen,Female,Married,60-69,Yes,Yes,No,No,Iranian,48,62,212,416,999,9,1,212,416,999,9,1
2021HU0535867,4,416,999,1,1,2,29,47,4,32,20,1,1,21,2nd gen,Female,Married,20-29,No,No,Yes,No,Other White,47,29,4,416,999,1,1,4,32,20,1,1
2021HU0555563,212,431,999,1,1,2,55,11,34,51,999,1,1,21,1st gen,Female,Married,50-59,No,No,Yes,No,Other White,11,55,212,431,999,1,1,34,51,999,1,1
2021HU0771248,212,416,999,1,1,1,29,17,17,999,999,1,1,21,1st gen,Male,Married,20-29,No,No,Yes,No,Other White,17,29,212,416,999,1,1,17,999,999,1,1
2021HU0781027,212,416,999,1,1,1,48,16,18,210,999,8,2,21,1st gen,Male,Married,40-49,No,No,No,Yes,Hispanic,16,48,212,416,999,1,1,18,210,999,8,2
2021HU0830115,212,416,999,1,1,1,68,26,18,22,999,1,1,21,1st gen,Male,Married,60-69,No,No,Yes,No,Other White,26,68,212,416,999,1,1,18,22,999,1,1
2021HU0968816,6,416,51,1,1,2,41,24,48,924,999,1,1,21,2nd gen,Female,Married,40-49,No,No,Yes,No,Other White,24,41,6,416,51,1,1,48,924,999,1,1
2021HU1114334,18,416,999,1,1,1,87,30,18,939,999,1,1,21,2nd gen,Male,Married,80-89,No,No,Yes,No,Other White,30,87,18,416,999,1,1,18,939,999,1,1
2021HU1130445,212,416,442,1,1,1,32,32,212,416,442,1,1,21,1st gen,Male,Married,30-39,Yes,Yes,Yes,No,Iranian,32,32,212,416,442,1,1,212,416,442,1,1
2021HU1187461,9,416,26,1,1,1,78,10,36,998,999,1,1,21,2nd gen,Male,Married,70-79,No,No,Yes,No,Other White,10,78,9,416,26,1,1,36,998,999,1,1
2021HU1265896,36,416,999,1,1,1,46,11,212,416,999,1,1,21,2nd gen,Male,Married,40-49,Yes,Yes,Yes,No,Iranian,11,46,36,416,999,1,1,212,416,999,1,1
2021HU1285377,212,416,999,1,1,1,38,10,207,706,999,6,1,21,1st gen,Male,Married,30-39,No,No,No,No,Other,10,38,212,416,999,1,1,207,706,999,6,1
2021HU1287261,212,416,999,1,1,1,50,33,212,416,999,1,1,21,1st gen,Male,Married,50-59,Yes,Yes,Yes,No,Iranian,33,50,212,416,999,1,1,212,416,999,1,1
2021HU1303878,6,416,999,9,1,1,39,9,42,195,416,9,1,21,2nd gen,Male,Married,30-39,Yes,Yes,No,No,Iranian,9,39,6,416,999,9,1,42,195,416,9,1
2021HU1360412,139,416,11,1,1,2,33,9,17,142,51,1,1,21,2nd gen,Female,Married,30-39,No,No,Yes,No,Other White,9,33,139,416,11,1,1,17,142,51,1,1
2022HU0031459,212,416,999,1,1,2,70,16,212,416,999,1,1,21,1st gen,Female,Married,70-79,Yes,Yes,Yes,No,Iranian,16,70,212,416,999,1,1,212,416,999,1,1
2022HU0042893,212,416,999,1,1,1,73,18,212,416,999,1,1,21,1st gen,Male,Married,70-79,Yes,Yes,Yes,No,Iranian,18,73,212,416,999,1,1,212,416,999,1,1
2022HU0138553,212,416,32,9,1,2,50,10,39,190,999,1,1,21,1st gen,Female,Married,50-59,No,No,Yes,No,Other White,10,50,212,416,32,9,1,39,190,999,1,1
2022HU0170982,212,416,999,9,1,1,76,18,137,26,416,1,1,21,1st gen,Male,Married,70-79,Yes,Yes,Yes,No,Iranian,18,76,212,416,999,9,1,137,26,416,1,1
2022HU0222628,212,416,999,9,1,1,78,19,212,416,999,9,1,21,1st gen,Male,Married,70-79,Yes,Yes,No,No,Iranian,19,78,212,416,999,9,1,212,416,999,9,1
2022HU0395592,212,416,999,1,1,2,66,11,212,416,999,1,1,21,1st gen,Female,Married,60-69,Yes,Yes,Yes,No,Iranian,11,66,212,416,999,1,1,212,416,999,1,1
2022HU0416088,212,416,999,1,1,1,70,6,212,416,999,1,1,21,1st gen,Male,Married,70-79,Yes,Yes,Yes,No,Iranian,6,70,212,416,999,1,1,212,416,999,1,1
2022HU0466507,212,416,999,1,1,1,76,6,212,416,999,1,1,21,1st gen,Male,Married,70-79,Yes,Yes,Yes,No,Iranian,6,76,212,416,999,1,1,212,416,999,1,1
2022HU0495976,37,148,416,1,1,1,32,14,4,51,999,1,1,21,2nd gen,Male,Married,30-39,No,No,Yes,No,Other White,14,32,37,148,416,1,1,4,51,999,1,1
2022HU0583694,212,416,999,1,1,1,63,21,303,290,999,9,2,21,1st gen,Male,Married,60-69,No,No,No,Yes,Hispanic,21,63,212,416,999,1,1,303,290,999,9,2
2022HU0623949,6,416,999,1,1,2,30,17,4,210,26,9,2,22,2nd gen,Female,Unmarried partner,30-39,No,No,No,Yes,Hispanic,17,30,6,416,999,1,1,4,210,26,9,2
2022HU0688740,6,416,483,1,1,1,30,7,26,924,32,1,1,21,2nd gen,Male,Married,30-39,No,No,Yes,No,Other White,7,30,6,416,483,1,1,26,924,32,1,1
2022HU0851467,109,26,416,1,1,2,42,21,6,720,999,6,1,21,2nd gen,Female,Married,40-49,No,No,No,No,Other,21,42,109,26,416,1,1,6,720,999,6,1
2022HU0973436,212,416,999,1,1,1,44,21,364,234,999,9,16,21,1st gen,Male,Married,40-49,No,No,No,Yes,Hispanic,21,44,212,416,999,1,1,364,234,999,9,16
2022HU1006821,212,416,999,1,1,1,68,20,212,416,999,1,1,21,1st gen,Male,Married,60-69,Yes,Yes,Yes,No,Iranian,20,68,212,416,999,1,1,212,416,999,1,1
2022HU1045600,212,416,999,1,1,1,68,7,212,416,999,1,1,21,1st gen,Male,Married,60-69,Yes,Yes,Yes,No,Iranian,7,68,212,416,999,1,1,212,416,999,1,1
2022HU1059262,212,416,999,1,1,1,77,34,212,416,999,1,1,21,1st gen,Male,Married,70-79,Yes,Yes,Yes,No,Iranian,34,77,212,416,999,1,1,212,416,999,1,1
2022HU1175701,212,416,999,1,1,2,53,18,212,416,999,1,1,21,1st gen,Female,Married,50-59,Yes,Yes,Yes,No,Iranian,18,53,212,416,999,1,1,212,416,999,1,1
2022HU1235824,6,416,32,9,1,1,41,31,17,68,50,1,1,21,2nd gen,Male,Married,40-49,No,No,Yes,No,Other White,31,41,6,416,32,9,1,17,68,50,1,1
2022HU1240616,212,416,999,9,1,1,44,14,212,416,999,9,1,21,1st gen,Male,Married,40-49,Yes,Yes,No,No,Iranian,14,44,212,416,999,9,1,212,416,999,9,1
2022HU1290547,212,416,999,1,1,1,47,9,12,87,999,1,1,21,1st gen,Male,Married,40-49,No,No,Yes,No,Other White,9,47,212,416,999,1,1,12,87,999,1,1
2022HU1340244,212,416,999,1,1,1,79,10,18,999,999,1,1,21,1st gen,Male,Married,70-79,No,No,Yes,No,Other White,10,79,212,416,999,1,1,18,999,999,1,1
2023HU0035391,212,431,999,1,1,1,47,7,212,431,999,1,1,21,1st gen,Male,Married,40-49,Yes,Yes,Yes,No,Iranian,7,47,212,431,999,1,1,212,431,999,1,1
2023HU0072457,16,22,416,1,1,2,39,14,365,924,999,1,17,21,2nd gen,Female,Married,30-39,No,No,No,Yes,Hispanic,14,39,16,22,416,1,1,365,924,999,1,17
2023HU0150677,48,416,999,1,1,1,43,23,39,22,50,1,1,21,2nd gen,Male,Married,40-49,No,No,Yes,No,Other White,23,43,48,416,999,1,1,39,22,50,1,1
